Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
15-09-2000,241469.5746,272671.0715,187087.5698,277970.259,616459.3646,206683.3741,236193.0171,742150.8883,77377.85498,96424.81492
18-09-2000,242628.6286,268635.5397,183663.8673,277136.3482,601787.6317,202508.37,233594.8939,733838.7984,76774.30772,94573.45847
19-09-2000,242725.68,266352.1376,183553.6689,271288.7713,626641.4609,201880.594,229740.5782,736847.5374,74010.43264,95330.04614
20-09-2000,237288.6248,262010.5977,183186.5616,267436.4707,632719.8831,194612.8926,227718.8611,740605.4599,72804.06259,94367.21267
21-09-2000,239139.4761,262036.7988,183058.331,263103.9999,618989.8616,194963.1958,232956.3949,759416.8386,71784.80571,93933.12349
22-09-2000,245691.8977,263504.2049,185273.3368,261104.4095,610385.9025,196990.8131,233235.9426,783338.469,72940.54108,94834.88148
25-09-2000,245544.4826,261264.4191,184384.0248,259720.5561,598422.3388,198074.2626,230250.5225,780831.7859,73130.18649,95764.26332
26-09-2000,246575.7694,255333.7168,183093.3366,263668.3086,589266.4771,195736.9863,225461.3116,771461.8044,75097.3885,95237.55987
27-09-2000,249386.7332,257555.1202,181903.2299,270444.5841,582843.4725,195756.56,227242.456,771693.243,75698.16761,95475.65377
28-09-2000,252204.8033,261624.4911,186632.7139,269011.2278,601494.4636,205113.7235,229333.0866,782496.9484,76341.60204,97509.2852
29-09-2000,251523.8503,260944.2674,185568.9074,270840.5042,579479.7662,207103.3266,226489.3563,785470.4368,76875.99325,97089.99527
02-10-2000,253586.3459,265641.2642,183360.6374,276446.9026,569396.8183,205280.8174,222435.1969,771410.516,77475.626,97905.55123
03-10-2000,253180.6077,263888.0319,185047.5553,274815.8659,548329.136,203679.627,222435.1969,770176.2591,75941.6086,97885.97012
04-10-2000,252800.8368,268242.1844,186731.4881,268192.8035,564285.5139,208466.0982,223836.5386,757622.3861,74225.32825,97132.24815
05-10-2000,256289.4884,263118.7587,186526.0834,267280.948,553338.3749,209174.883,223276.9472,775426.5122,73097.10326,97870.45323
06-10-2000,254777.3804,257672.2004,184418.3387,266185.0961,538730.2418,204384.7781,218297.8713,767284.5338,73740.35777,94963.70077
09-10-2000,255465.2793,261021.939,184731.8499,270949.8093,538460.8767,202075.2301,218407.0203,759074.5893,74359.77677,93890.61095
10-10-2000,256870.3383,253478.4049,182441.1749,278129.9793,519237.8234,199165.3468,218450.7017,772889.7468,75244.65812,92200.57996
11-10-2000,256022.6662,248282.0976,181893.8514,280633.1491,502777.9844,191855.9786,214147.2228,774358.2374,75432.76976,90780.69103
12-10-2000,254281.7121,242050.217,178074.0805,283916.5569,488549.3674,185601.4737,201469.7072,769712.0879,74950.00004,86813.57483
13-10-2000,251459.1851,249142.2883,179961.6658,273951.0858,531297.4371,192988.4124,205680.4241,767864.7789,75624.55004,90485.78904
16-10-2000,254275.528,249092.4599,181077.4281,267814.5815,528162.7822,188993.5522,209835.1687,782838.1421,76600.10673,91164.43246
17-10-2000,254021.2524,244583.8863,178107.7583,268537.6808,513479.8568,184703.3986,204295.5202,791840.7807,76362.6464,88383.91727
18-10-2000,256205.8352,244804.0118,177021.3009,265664.3276,501310.3842,185442.2122,207686.8259,788515.0495,75018.66383,88357.4021
19-10-2000,256231.4558,251560.6026,179729.7269,265611.1948,544723.8635,192396.2951,212899.7652,778185.5023,75033.66756,90751.88769
20-10-2000,251849.8979,250378.2677,182120.1322,270976.5409,557797.2362,195455.3962,210472.7079,784955.7162,74703.51942,90379.80495
23-10-2000,254166.917,249627.1329,182611.8566,269431.9746,553892.6556,199911.7793,213103.6167,804815.0958,75136.79983,89231.98143
24-10-2000,256225.669,254220.2722,185277.9897,262857.8344,541208.5138,201271.1794,213465.8929,795398.7592,74347.86344,91703.70732
